Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2016-07-25,1.410397,1.336126,1.253077,1.233764
2016-07-26,1.411371,1.349631,1.256269,1.234499
2016-07-27,1.421368,1.346509,1.256132,1.232801
2016-07-28,1.428557,1.346216,1.257150,1.233968
2016-07-29,1.437706,1.354194,1.260425,1.237566
2016-08-01,1.439692,1.347439,1.255660,1.233029
2016-08-02,1.430330,1.345211,1.250838,1.228958
2016-08-03,1.431859,1.345394,1.255528,1.232178
2016-08-04,1.439393,1.349394,1.257331,1.233448
2016-08-05,1.451179,1.354769,1.266316,1.240203
2016-08-08,1.451578,1.358084,1.268138,1.241395
2016-08-09,1.454025,1.360321,1.269482,1.242792
2016-08-10,1.451131,1.357658,1.265741,1.240072
2016-08-11,1.458761,1.366106,1.271146,1.244817
2016-08-12,1.474283,1.385635,1.276363,1.249195
2016-08-15,1.471718,1.387665,1.280552,1.252589
2016-08-16,1.461772,1.382915,1.276931,1.248195
2016-08-17,1.457946,1.378798,1.277182,1.249426
2016-08-18,1.461439,1.385061,1.279210,1.251174
2016-08-19,1.462169,1.383394,1.278318,1.249773
2016-08-22,1.461265,1.382111,1.277488,1.248554
2016-08-23,1.466388,1.387440,1.280539,1.251577
2016-08-24,1.452573,1.379725,1.274428,1.245977
2016-08-25,1.445472,1.378139,1.273212,1.245024
2016-08-26,1.443523,1.374164,1.268842,1.239938
2016-08-29,1.448763,1.381512,1.275608,1.246863
2016-08-30,1.442847,1.374606,1.273310,1.243754
2016-08-31,1.437783,1.372131,1.270532,1.241481
2016-09-01,1.445444,1.377598,1.272864,1.243773
2016-09-02,1.451413,1.381748,1.278318,1.249413
2016-09-06,1.454393,1.386623,1.281523,1.252935
2016-09-07,1.452093,1.386927,1.280755,1.252035
2016-09-08,1.448453,1.387336,1.278041,1.249067
2016-09-09,1.407385,1.343589,1.246226,1.217973
2016-09-12,1.429830,1.367109,1.264653,1.236404
2016-09-13,1.412568,1.345441,1.248212,1.220108
2016-09-14,1.419986,1.350192,1.252409,1.223556
2016-09-15,1.444419,1.370731,1.268806,1.238623
2016-09-16,1.450990,1.374943,1.265630,1.235754
2016-09-19,1.454549,1.378776,1.265570,1.235135
2016-09-20,1.450961,1.376922,1.264343,1.234462
2016-09-21,1.475209,1.398704,1.276977,1.245651
2016-09-22,1.486851,1.408685,1.286128,1.255183
2016-09-23,1.481167,1.401030,1.277567,1.247101
2016-09-26,1.471718,1.391144,1.268147,1.238233
2016-09-27,1.488994,1.408277,1.278665,1.248015
2016-09-28,1.494146,1.421276,1.290080,1.257773
2016-09-29,1.479457,1.417482,1.279700,1.247806
2016-09-30,1.490359,1.432725,1.291422,1.258762
2016-10-03,1.483894,1.426004,1.286381,1.253560
2016-10-04,1.478142,1.419575,1.280358,1.247076
2016-10-05,1.476917,1.426785,1.285868,1.251123
2016-10-06,1.470578,1.422662,1.285320,1.250636
2016-10-07,1.469241,1.423421,1.277647,1.243794
2016-10-10,1.480293,1.427374,1.283705,1.249011
2016-10-11,1.459568,1.413434,1.270942,1.236879
2016-10-12,1.465545,1.419530,1.275281,1.241342
2016-10-13,1.461570,1.413625,1.272288,1.239172
2016-10-14,1.464040,1.420556,1.275678,1.241483
2016-10-17,1.465317,1.416967,1.273337,1.239760
2016-10-18,1.486703,1.428669,1.283980,1.248715
2016-10-19,1.485654,1.431736,1.287087,1.250882
2016-10-20,1.493574,1.433314,1.285719,1.248443
2016-10-21,1.496960,1.428640,1.285739,1.247021
2016-10-24,1.518184,1.446331,1.294169,1.253924
2016-10-25,1.522702,1.451366,1.295225,1.255617
2016-10-26,1.514260,1.452746,1.293058,1.253499
2016-10-27,1.502918,1.443785,1.285997,1.247523
2016-10-28,1.496061,1.443545,1.283516,1.245215
2016-10-31,1.505852,1.451712,1.285624,1.247211
2016-11-01,1.483429,1.432595,1.273575,1.236121
2016-11-02,1.475742,1.421644,1.265369,1.228239
2016-11-03,1.465711,1.416451,1.260962,1.224394
2016-11-04,1.460261,1.414456,1.257079,1.220316
2016-11-07,1.503886,1.449268,1.288336,1.248744
2016-11-08,1.508409,1.456609,1.293878,1.254699
2016-11-09,1.500371,1.457065,1.305726,1.262887
2016-11-10,1.481386,1.430711,1.302297,1.255680
2016-11-11,1.568288,1.510961,1.326149,1.271546
2016-11-14,1.556325,1.494826,1.327105,1.271907
2016-11-15,1.573921,1.518517,1.339225,1.283225
2016-11-16,1.601626,1.537950,1.341927,1.285099
2016-11-17,1.607841,1.536947,1.344122,1.286068
2016-11-18,1.609215,1.541649,1.342600,1.284096
2016-11-21,1.614241,1.548692,1.350020,1.291443
2016-11-22,1.618541,1.560456,1.356105,1.297072
2016-11-23,1.619111,1.569640,1.362835,1.303169
2016-11-25,1.622754,1.577027,1.366614,1.307902
2016-11-28,1.621333,1.579027,1.364693,1.306657
2016-11-29,1.633132,1.572943,1.370138,1.311358
2016-11-30,1.621436,1.561030,1.368563,1.307212
2016-12-01,1.600787,1.543880,1.365123,1.304011
2016-12-02,1.604964,1.548950,1.363794,1.303509
2016-12-05,1.619779,1.562163,1.373517,1.311272
2016-12-06,1.625480,1.571710,1.378362,1.315238
2016-12-07,1.652322,1.592125,1.401666,1.337076
2016-12-08,1.646772,1.579866,1.400947,1.335657
2016-12-09,1.650964,1.588681,1.409375,1.345426
2016-12-12,1.650692,1.591125,1.410820,1.348857
2016-12-13,1.666640,1.602338,1.421499,1.358112
2016-12-14,1.672938,1.604989,1.413431,1.347932
2016-12-15,1.685384,1.620730,1.422856,1.356284
2016-12-16,1.703469,1.627778,1.424447,1.358698
2016-12-19,1.709739,1.635094,1.429036,1.362470
2016-12-20,1.721745,1.648948,1.433632,1.364775
2016-12-21,1.719522,1.647012,1.430680,1.361664
2016-12-22,1.723791,1.655791,1.432125,1.363170
2016-12-23,1.734675,1.667707,1.436893,1.367289
2016-12-27,1.760486,1.689978,1.445366,1.373168
2016-12-28,1.726475,1.657773,1.429234,1.359750
2016-12-29,1.736945,1.669597,1.432423,1.363129
2016-12-30,1.718946,1.649879,1.425357,1.357299
2017-01-03,1.711962,1.647221,1.430350,1.363594
2017-01-04,1.724628,1.656071,1.433285,1.365648
2017-01-05,1.719514,1.645820,1.429264,1.363529
2017-01-06,1.727502,1.653033,1.434548,1.366942
2017-01-09,1.738069,1.657280,1.431785,1.362580
2017-01-10,1.727912,1.653213,1.427209,1.357528
2017-01-11,1.722372,1.654949,1.430587,1.359965
2017-01-12,1.716868,1.644299,1.426128,1.356971
2017-01-13,1.713905,1.645955,1.426246,1.356726
2017-01-17,1.703219,1.625017,1.419691,1.353669
2017-01-18,1.704425,1.630158,1.419436,1.352759
2017-01-19,1.710654,1.630487,1.416540,1.349638
2017-01-20,1.708033,1.637982,1.424296,1.358207
2017-01-23,1.713908,1.641022,1.423552,1.356856
2017-01-24,1.714067,1.652915,1.426213,1.357082
2017-01-25,1.722879,1.665029,1.435287,1.364466
2017-01-26,1.726951,1.668848,1.434956,1.362170
2017-01-27,1.734285,1.674513,1.439304,1.365442
2017-01-30,1.719725,1.658777,1.429043,1.356916
2017-01-31,1.714611,1.647717,1.421457,1.351391
2017-02-01,1.742155,1.656030,1.425778,1.353184
2017-02-02,1.741973,1.663504,1.424797,1.352639
2017-02-03,1.747593,1.685615,1.437130,1.363080
2017-02-06,1.754459,1.684370,1.434560,1.359694
2017-02-07,1.762261,1.687708,1.436734,1.361800
2017-02-08,1.761025,1.689722,1.436263,1.362332
2017-02-09,1.760543,1.691190,1.441201,1.366079
2017-02-10,1.754314,1.687080,1.443919,1.368212
2017-02-13,1.748628,1.674615,1.449874,1.373813
2017-02-14,1.758888,1.678252,1.453653,1.376241
