Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-11-06,1.140760,1.098998,1.082908,1.064370
2015-11-09,1.130742,1.085828,1.069661,1.051678
2015-11-10,1.125659,1.082472,1.068273,1.050824
2015-11-11,1.123294,1.075040,1.066732,1.049840
2015-11-12,1.111929,1.057574,1.050510,1.034118
2015-11-13,1.098545,1.056746,1.043119,1.027314
2015-11-16,1.118300,1.076464,1.061764,1.045741
2015-11-17,1.117793,1.068350,1.055967,1.040080
2015-11-18,1.139723,1.090214,1.073653,1.056925
2015-11-19,1.129465,1.079075,1.072872,1.056910
2015-11-20,1.140012,1.089080,1.075467,1.058545
2015-11-23,1.133113,1.082558,1.071483,1.055508
2015-11-24,1.134051,1.088202,1.074758,1.059000
2015-11-25,1.133915,1.087865,1.072614,1.056617
2015-11-27,1.138134,1.090617,1.076009,1.059851
2015-11-30,1.136584,1.090669,1.073594,1.056557
2015-12-01,1.156917,1.106841,1.083564,1.065857
2015-12-02,1.155838,1.102065,1.073141,1.055747
2015-12-03,1.141248,1.088229,1.059683,1.043179
2015-12-04,1.173012,1.117260,1.084322,1.067014
2015-12-07,1.164289,1.104471,1.075288,1.059495
2015-12-08,1.162575,1.099031,1.064689,1.048936
2015-12-09,1.148402,1.086714,1.056430,1.041517
2015-12-10,1.154919,1.091903,1.059628,1.044331
2015-12-11,1.136043,1.074876,1.042880,1.028961
2015-12-14,1.142914,1.078476,1.048346,1.034360
2015-12-15,1.151956,1.089548,1.061509,1.047317
2015-12-16,1.172339,1.100031,1.078257,1.063514
2015-12-17,1.159882,1.084843,1.061579,1.047558
2015-12-18,1.136656,1.059806,1.041782,1.028213
2015-12-21,1.149113,1.074245,1.051046,1.036784
2015-12-22,1.156735,1.078690,1.061113,1.046667
2015-12-23,1.165839,1.091290,1.074442,1.059598
2015-12-24,1.165000,1.089317,1.071478,1.056666
2015-12-28,1.163670,1.087067,1.068813,1.054186
2015-12-29,1.177315,1.099671,1.079582,1.064404
2015-12-30,1.169709,1.090271,1.071231,1.056362
2015-12-31,1.155700,1.077527,1.060014,1.045324
2016-01-04,1.138953,1.064355,1.046577,1.032257
2016-01-05,1.146858,1.065399,1.048626,1.034719
2016-01-06,1.126844,1.044581,1.033929,1.021316
2016-01-07,1.093638,1.009498,1.006574,0.996100
2016-01-08,1.081642,1.005130,0.996940,0.986745
2016-01-11,1.079415,1.009572,0.996533,0.986667
2016-01-12,1.093326,1.019858,1.004315,0.994138
2016-01-13,1.068454,0.997839,0.986173,0.977353
2016-01-14,1.080730,1.005579,0.998917,0.989690
2016-01-15,1.049469,0.971835,0.975457,0.967875
2016-01-19,1.056882,0.973538,0.979698,0.972942
2016-01-20,1.056899,0.968247,0.968968,0.962143
2016-01-21,1.056827,0.969531,0.972680,0.966670
2016-01-22,1.075172,0.995120,0.994096,0.986898
2016-01-25,1.067339,0.982856,0.978411,0.972618
2016-01-26,1.086858,0.999482,0.998811,0.993147
2016-01-27,1.075789,0.978801,0.988755,0.984545
2016-01-28,1.077557,0.979909,0.996624,0.992035
2016-01-29,1.121998,1.013160,1.024552,1.018151
2016-02-01,1.121168,1.011572,1.022285,1.016590
2016-02-02,1.093744,0.989141,0.998276,0.994416
2016-02-03,1.094264,0.995827,1.012607,1.009117
2016-02-04,1.096844,0.996441,1.021371,1.016713
2016-02-05,1.060521,0.968329,1.008367,1.005425
2016-02-08,1.047162,0.953034,0.995521,0.994874
2016-02-09,1.051766,0.954568,0.996690,0.996379
2016-02-10,1.054793,0.953071,0.990867,0.990184
2016-02-11,1.047628,0.942122,0.975198,0.975250
2016-02-12,1.059750,0.953685,0.995107,0.993752
2016-02-16,1.084706,0.972932,1.012176,1.009237
2016-02-17,1.104229,0.986232,1.025349,1.021315
2016-02-18,1.122965,1.005058,1.027886,1.023809
2016-02-19,1.126844,1.005012,1.026758,1.022672
2016-02-22,1.144894,1.019383,1.037654,1.032704
2016-02-23,1.134174,1.010231,1.023562,1.019818
2016-02-24,1.137561,1.015149,1.026409,1.022593
2016-02-25,1.147973,1.026485,1.036911,1.032779
2016-02-26,1.140612,1.018144,1.032980,1.027944
2016-02-29,1.129516,1.010963,1.024641,1.019842
2016-03-01,1.164516,1.038029,1.054468,1.047699
2016-03-02,1.167137,1.044242,1.059234,1.052546
2016-03-03,1.164823,1.042372,1.065087,1.058288
2016-03-04,1.164500,1.045202,1.070700,1.064040
2016-03-07,1.156864,1.039115,1.070768,1.064449
2016-03-08,1.153159,1.034727,1.061788,1.056976
2016-03-09,1.160792,1.038983,1.066013,1.061203
2016-03-10,1.159266,1.036265,1.065021,1.060786
2016-03-11,1.176620,1.044496,1.077033,1.071628
2016-03-14,1.177754,1.044259,1.075557,1.070049
2016-03-15,1.180797,1.048561,1.076492,1.071036
2016-03-16,1.192560,1.058660,1.083163,1.076990
2016-03-17,1.191080,1.060869,1.092807,1.087189
2016-03-18,1.199744,1.066626,1.098978,1.092063
2016-03-21,1.202095,1.068385,1.099545,1.092681
2016-03-22,1.206471,1.068239,1.098678,1.091645
2016-03-23,1.214573,1.072645,1.097142,1.090281
2016-03-24,1.212081,1.073270,1.097268,1.090703
2016-03-28,1.211607,1.072238,1.099060,1.092470
2016-03-29,1.228222,1.086649,1.109532,1.102869
2016-03-30,1.234373,1.092578,1.115448,1.108174
2016-03-31,1.230105,1.088429,1.112716,1.105305
2016-04-01,1.241553,1.099050,1.121722,1.114030
2016-04-04,1.238510,1.092161,1.117978,1.110942
2016-04-05,1.227507,1.088481,1.107922,1.101515
2016-04-06,1.235876,1.092667,1.113660,1.107106
2016-04-07,1.222526,1.080388,1.097603,1.091745
2016-04-08,1.221600,1.083605,1.101198,1.095447
2016-04-11,1.224252,1.084171,1.101943,1.095120
2016-04-12,1.230908,1.092225,1.111134,1.103727
2016-04-13,1.246079,1.108924,1.125488,1.114868
2016-04-14,1.247231,1.111544,1.127339,1.116290
2016-04-15,1.245435,1.113693,1.126362,1.115981
2016-04-18,1.245802,1.117347,1.129913,1.119647
2016-04-19,1.248974,1.124009,1.139802,1.129774
2016-04-20,1.255042,1.119338,1.137568,1.125082
2016-04-21,1.251199,1.112025,1.128254,1.114875
2016-04-22,1.232565,1.112811,1.127577,1.116073
2016-04-25,1.233699,1.111422,1.126705,1.115923
2016-04-26,1.228940,1.107567,1.125623,1.113793
2016-04-27,1.214806,1.117617,1.125762,1.114305
2016-04-28,1.193500,1.105732,1.113547,1.103391
2016-04-29,1.184788,1.100958,1.109884,1.100385
2016-05-02,1.191754,1.110004,1.117701,1.107842
2016-05-03,1.190189,1.101992,1.108619,1.099660
2016-05-04,1.178176,1.092062,1.100442,1.093133
2016-05-05,1.182411,1.089385,1.099639,1.092532
2016-05-06,1.184288,1.096831,1.104457,1.097460
2016-05-09,1.185416,1.089166,1.100909,1.094650
2016-05-10,1.199834,1.104914,1.115319,1.108071
2016-05-11,1.191436,1.102895,1.107881,1.100580
2016-05-12,1.183421,1.098389,1.106660,1.100236
2016-05-13,1.211724,1.119311,1.106941,1.098067
2016-05-16,1.234147,1.136991,1.120276,1.110607
2016-05-17,1.227661,1.129242,1.113063,1.102678
2016-05-18,1.235409,1.133611,1.116749,1.104009
2016-05-19,1.231637,1.128953,1.109093,1.097023
2016-05-20,1.243275,1.136235,1.113152,1.100221
2016-05-23,1.241684,1.136974,1.112503,1.099396
2016-05-24,1.261470,1.156136,1.126695,1.112490
2016-05-25,1.267980,1.165585,1.135696,1.120698
2016-05-26,1.268535,1.165902,1.133495,1.119014
2016-05-27,1.273174,1.169553,1.138157,1.123505
2016-05-31,1.275466,1.175987,1.137912,1.122600
2016-06-01,1.275010,1.177698,1.139300,1.124070
2016-06-02,1.282282,1.182771,1.142569,1.127492
2016-06-03,1.280678,1.182820,1.141904,1.128220
2016-06-06,1.287554,1.190727,1.149356,1.135353
2016-06-07,1.286089,1.194118,1.151598,1.137967
2016-06-08,1.292884,1.201519,1.157080,1.143445
2016-06-09,1.305263,1.206279,1.161088,1.147997
2016-06-10,1.293594,1.197574,1.154398,1.143243
2016-06-13,1.285827,1.189613,1.146631,1.135692
2016-06-14,1.286765,1.185339,1.143445,1.133602
2016-06-15,1.286924,1.187356,1.143017,1.132760
2016-06-16,1.293974,1.193323,1.149754,1.139560
2016-06-17,1.279614,1.187598,1.143696,1.133559
2016-06-20,1.289378,1.195156,1.149333,1.138681
2016-06-21,1.290675,1.197603,1.153046,1.142072
2016-06-22,1.288031,1.198461,1.151539,1.140755
2016-06-23,1.303424,1.219875,1.166954,1.154854
2016-06-24,1.263122,1.162853,1.122452,1.114383
2016-06-27,1.254135,1.139729,1.106997,1.100608
2016-06-28,1.273699,1.158230,1.125726,1.118195
2016-06-29,1.288121,1.180192,1.143231,1.134666
2016-06-30,1.303029,1.195390,1.158330,1.149704
2016-07-01,1.300901,1.193194,1.158445,1.150038
2016-07-05,1.306678,1.187315,1.153518,1.147073
2016-07-06,1.313008,1.192944,1.158990,1.151650
2016-07-07,1.315012,1.197698,1.157755,1.149082
2016-07-08,1.332666,1.223684,1.176477,1.166042
2016-07-11,1.338395,1.231032,1.181162,1.169897
2016-07-12,1.342460,1.246168,1.191548,1.178301
2016-07-13,1.345790,1.250094,1.195213,1.182195
2016-07-14,1.352449,1.258781,1.202332,1.187875
