Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2018-07-16,-0.006740,-0.006798,-0.000259,-0.000752
2018-07-17,0.000263,0.002313,0.003145,0.003339
2018-07-18,-0.000767,0.004262,-0.000843,-0.001276
2018-07-19,-0.003135,-0.004031,-0.004337,-0.004399
2018-07-20,-0.001832,-0.004827,0.001824,0.001654
2018-07-23,0.002446,-0.002724,0.001130,0.000618
2018-07-24,0.002049,0.007014,0.007843,0.008442
2018-07-25,0.014985,0.010717,0.010334,0.009504
2018-07-26,0.008308,0.008808,0.005920,0.006217
2018-07-27,-0.006162,-0.004892,-0.002341,-0.001326
2018-07-30,-0.012990,-0.012218,-0.006018,-0.004553
2018-07-31,0.005611,0.006393,0.003757,0.003650
2018-08-01,-0.000505,0.008446,-0.000803,-0.000883
2018-08-02,0.005540,0.010562,0.002700,0.002297
2018-08-03,0.006568,0.004747,0.004896,0.005121
2018-08-06,0.001190,0.002052,-0.000670,-0.000903
2018-08-07,0.003640,0.001429,0.002824,0.001809
2018-08-08,0.001117,-0.000528,-0.001912,-0.002034
2018-08-09,-0.000784,0.001715,-0.002232,-0.001662
2018-08-10,-0.008004,-0.004139,-0.008031,-0.007386
2018-08-13,-0.001531,-0.000249,-0.004157,-0.003981
2018-08-14,0.006749,0.005801,0.005288,0.004341
2018-08-15,-0.006733,-0.002110,-0.003573,-0.001971
2018-08-16,0.008744,0.009712,0.011378,0.011690
2018-08-17,-0.001911,0.000629,0.004624,0.006094
2018-08-20,0.003653,0.000219,0.003040,0.003110
2018-08-21,-0.003685,0.000382,0.000153,-0.001219
2018-08-22,0.006116,0.001642,-0.000842,-0.002570
2018-08-23,0.001113,0.000892,-0.001434,-0.001465
2018-08-24,0.013810,0.006093,0.006550,0.006114
2018-08-27,0.009236,0.006964,0.010207,0.008461
2018-08-28,0.004360,0.000848,0.001259,0.001014
2018-08-29,0.006635,0.005577,0.003897,0.003240
2018-08-30,-0.003876,-0.000805,-0.003968,-0.003632
2018-08-31,0.003206,0.000278,-0.000753,-0.001523
2018-09-04,-0.002243,-0.004308,-0.002756,-0.003345
2018-09-05,-0.005624,0.007034,0.002916,0.004766
2018-09-06,-0.001631,0.000691,-0.000837,0.000265
